# torsion=torsion-0
# dihedral_0based=2,3,6,9
# dihedral_1based=3,4,7,10
angle_deg initial_sage B3LYP-D3BJ_DZVP final_sage
-180.000000 -0.092092  0.471233  0.514180
-164.347826  1.160196  1.559457  1.542623
-148.695652  2.482568  2.692529  2.630269
-133.043478  3.009433  3.171798  3.095843
-117.391304  2.337743  2.644896  2.527531
-101.739130  1.007635  1.429996  1.250184
-86.086957 -0.015367  0.291996  0.148149
-70.434783  0.000000  0.000000  0.000000
-54.782609  1.108870  0.788875  0.932593
-39.130435  2.821876  2.278270  2.526888
-23.478261  4.418968  3.704163  4.095639
-7.826087  5.091857  4.300187  4.779853
 7.826087  4.418421  3.704251  4.095090
 23.478261  2.821881  2.278270  2.526889
 39.130435  1.108866  0.788875  0.932584
 54.782609 -0.000001  0.000001 -0.000000
 70.434783 -0.015379  0.291996  0.148139
 86.086957  1.007636  1.429996  1.250183
 101.739130  2.337537  2.644897  2.527322
 117.391304  3.009427  3.171799  3.095838
 133.043478  2.482568  2.692529  2.630270
 148.695652  1.160200  1.559458  1.542629
 164.347826 -0.092405  0.471351  0.513863
 180.000000 -0.591205  0.052002  0.101073
