# torsion=torsion-1
# dihedral_0based=2,10,13,16
# dihedral_1based=3,11,14,17
angle_deg initial_sage B3LYP-D3BJ_DZVP final_sage
-180.000000  0.252251  0.722790  0.623381
-164.347826  1.442160  1.907031  1.624929
-148.695652  2.697536  3.012297  2.645043
-133.043478  3.152421  3.346221  2.952185
-117.391304  2.508389  2.630378  2.336049
-101.739130  1.201731  1.309468  1.148058
-86.086957  0.132898  0.217738  0.160040
-70.434783  0.000000  0.000000  0.000000
-54.782609  1.172775  0.675738  1.024422
-39.130435  2.761040  2.219949  2.366410
-23.478261  4.516263  3.654619  3.867780
-7.826087  5.368419  4.266625  4.601467
 7.826087  4.876538  3.711948  4.222902
 23.478261  3.480974  2.353639  3.080162
 39.130435  2.006808  0.997630  1.852872
 54.782609  1.131148  0.289933  1.130462
 70.434783  0.970378  0.503039  0.997102
 86.086957  1.576810  1.460612  1.519636
 101.739130  2.632356  2.635899  2.457068
 117.391304  3.270750  3.143739  3.075571
 133.043478  2.774413  2.630518  2.732903
 148.695652  1.528515  1.513972  1.721524
 164.347826  0.276408  0.473656  0.654246
 180.000000 -0.193312  0.155355  0.249096
